iter	Passed	Remaining
804	143686	268809
805	143860	268622
806	143996	268365
807	144142	268126
808	144360	268021
809	144543	267852
810	144718	267667
811	144917	267526
812	145150	267447
813	145393	267387
814	145630	267317
815	145840	267196
816	146063	267098
817	146255	266943
818	146439	266773
819	146618	266595
820	146796	266414
821	146915	266127
822	147041	265854
823	147224	265683
824	147371	265446
825	147520	265215
826	147668	264982
827	147881	264865
828	148066	264697
829	148203	264445
830	148359	264226
831	148508	263995
832	148679	263803
833	148821	263560
834	148966	263323
835	149136	263129
836	149259	262853
837	149395	262601
838	149542	262367
839	149690	262137
840	149837	261903
841	149949	261609
842	150090	261368
843	150259	261173
844	150383	260902
845	150539	260686
846	150729	260528
847	150901	260339
848	151065	260138
849	151294	260048
850	151485	259892
851	151682	259747
852	151916	259664
853	152142	259568
854	152435	259585
855	152653	259475
856	152901	259415
857	153182	259410
858	153369	259246
859	153494	258976
860	153661	258778
861	153816	258561
862	153958	258321
863	154112	258102
864	154279	257904
865	154458	257727
866	154655	257581
867	154809	257362
868	154960	257138
869	155133	256951
870	155260	256688
871	155392	256433
872	155561	256239
873	155697	255992
874	155830	255739
875	155966	255493
876	156102	255246
877	156292	255088
878	156417	254822
879	156541	254557
880	156705	254357
881	156839	254108
882	156998	253900
883	157119	253630
884	157299	253456
885	157495	253308
886	157707	253185
887	157918	253061
888	158219	253079
889	158466	253012
890	158699	252922
891	158860	252716
892	158982	252449
893	159096	252170
894	159233	251926
895	159363	251673
896	159514	251452
897	159649	251208
898	159774	250946
899	159925	250727
900	160073	250504
901	160220	250278
902	160341	250012
903	160465	249750
904	160626	249548
905	160759	249302
906	160890	249052
907	161028	248814
908	161181	248598
909	161350	248409
910	161505	248197
911	161648	247968
912	161783	247724
913	161905	247464
914	162075	247276
915	162211	247036
916	162347	246796
917	162512	246600
918	162661	246381
919	162808	246160
920	162975	245967
921	163142	245774
922	163284	245546
923	163471	245383
924	163670	245241
925	163885	245121
926	164139	245059
927	164372	244964
928	164642	244926
929	164899	244867
930	165074	244685
931	165220	244461
932	165427	244329
933	165612	244162
934	165756	243936
935	165892	243698
936	166024	243454
937	166257	243359
938	166575	243388
939	166741	243194
940	166893	242979
941	167053	242777
942	167188	242539
943	167300	242266
944	167449	242048
945	167599	241831
946	167710	241559
947	167860	241343
948	168009	241126
949	168187	240950
950	168327	240721
951	168485	240516
952	168633	240297
953	168787	240088
954	168929	239862
955	169079	239647
956	169239	239445
957	169386	239227
958	169528	239002
959	169718	238843
960	169946	238738
961	170132	238574
962	170367	238478
963	170549	238309
964	170786	238216
965	170960	238035
966	171146	237870
967	171293	237652
968	171417	237401
969	171596	237227
970	171731	236993
971	171863	236754
972	172030	236563
973	172170	236336
974	172323	236127
975	172483	235927
976	172618	235694
977	172759	235468
978	172906	235251
979	173030	235003
980	173189	234803
981	173304	234543
982	173342	234180
983	173481	233953
984	173626	233735
985	173758	233498
986	173933	233320
987	174049	233064
988	174196	232848
989	174318	232600
990	174450	232365
991	174611	232170
992	174730	231918
993	174879	231706
994	175028	231495
995	175188	231297
996	175347	231099
997	175482	230870
998	175620	230644
999	175746	230403
1000	176011	230344
1001	176280	230290
1002	176524	230203
1003	176788	230142
1004	177076	230110
1005	177324	230028
1006	177465	229806
1007	177622	229605
1008	177769	229391
1009	177934	229200
1010	178061	228961
1011	178229	228775
1012	178386	228574
1013	178573	228411
1014	178693	228164
1015	178843	227955
1016	179000	227755
1017	179167	227567
1018	179275	227305
1019	179391	227052
1020	179554	226861
1021	179720	226673
1022	179852	226441
1023	179972	226195
1024	180131	225998
1025	180300	225815
1026	180447	225603
1027	180583	225378
1028	180738	225176
1029	180894	224976
1030	181017	224735
1031	181169	224531
1032	181292	224289
1033	181419	224054
1034	181579	223860
1035	181735	223660
1036	181886	223455
1037	182121	223353
